TC4
Numero Original			Numero Binario			Numero Hexadecimal
	-39			11011001			FFFFFFD9
	-36			11011100			FFFFFFDC
	8			00001000			8
	34			00100010			22
	17			00010001			11
	49			00110001			31
	5			00000101			5
	0			00000000			0
	33			00100001			21
	12			00001100			C
	-6			11111010			FFFFFFFA
	27			00011011			1B
	-4			11111100			FFFFFFFC
	-38			11011010			FFFFFFDA
	26			00011010			1A
	49			00110001			31
	29			00011101			1D
	42			00101010			2A
	-16			11110000			FFFFFFF0
	34			00100010			22
	20			00010100			14
	0			00000000			0
	25			00011001			19
	45			00101101			2D
	3			00000011			3
	-46			11010010			FFFFFFD2
	-46			11010010			FFFFFFD2
	29			00011101			1D
	33			00100001			21
	29			00011101			1D
	26			00011010			1A
	-5			11111011			FFFFFFFB
	-36			11011100			FFFFFFDC
	12			00001100			C
	45			00101101			2D
	-50			11001110			FFFFFFCE
	0			00000000			0
Tiempo de ultima ejecucion: 0.01501
